Open,High,Low,Close,Adj Close,Volume
154.740005,154.949997,151.710007,152.330002,152.330002,21521900
154.309998,155.369995,153.899994,155.229996,155.229996,18124300
155.479996,155.860001,154.360001,154.869995,154.869995,12547200
156.820007,157.429993,156.580002,156.979996,156.979996,9136300
156.979996,157.529999,156.130005,157.160004,157.160004,11996100
156.350006,156.800003,155.330002,156.039993,156.039993,9888400
156.350006,156.490005,155.820007,156.309998,156.309998,3565100
155.080002,155.550003,154.539993,154.910004,154.910004,4918600
154.050003,154.259995,150.660004,151.029999,151.029999,16436100
149.089996,150.720001,148.270004,150.339996,150.339996,19812200
152.139999,153.75,151.789993,151.990005,151.990005,10852700
154.759995,156.300003,154.550003,155.919998,155.919998,13385800
155.429993,157.380005,155.339996,156.710007,156.710007,11549700
155.369995,158.029999,155.25,157.779999,157.779999,11621600
158.589996,158.630005,156.380005,157.199997,157.199997,9790500
157.360001,157.589996,156.190002,156.5,156.5,8771900
158.970001,159.470001,158.470001,158.639999,158.639999,8371400
159.339996,160.050003,158.910004,159.669998,159.669998,7968500
161.020004,161.619995,159.830002,160.380005,160.380005,8602500
159.320007,159.589996,158.009995,159.259995,159.259995,8910300
161.169998,161.649994,160.419998,160.5,160.5,8313300
159.940002,161.639999,159.679993,161.600006,161.600006,9341200
160.960007,161.449997,160.330002,161.220001,161.220001,8114200
160.5,162.089996,160,162.070007,162.070007,11616700
162.320007,163.470001,162.320007,163.160004,163.160004,8832100
161.809998,162.369995,161.529999,162.009995,162.009995,7502100
161.070007,166.550003,160.289993,166.419998,166.419998,28957700
167.440002,169,167.410004,168.970001,168.970001,13030100
168.190002,168.539993,167.740005,168.029999,168.029999,8438000
169.770004,169.860001,167.720001,169.309998,169.309998,11192500
169.75,170.179993,169.080002,169.559998,169.559998,7734200
169.960007,171.229996,169.679993,171.050003,171.050003,11509600
169.880005,170.139999,167.509995,167.639999,167.639999,23355300
166.960007,167.679993,166.610001,167.179993,167.179993,8807400
167.380005,170.089996,167.149994,169.699997,169.699997,11614300
169.259995,169.960007,167.5,168.5,168.5,10655500
170.009995,170.369995,167.669998,168.020004,168.020004,16085200
166.490005,167.639999,166.330002,167.139999,167.139999,10326800
167.330002,167.940002,166.740005,167.509995,167.509995,7088900
167.649994,167.929993,166.419998,167.119995,167.119995,7862500
168.630005,168.75,167.190002,168.110001,168.110001,11638500
166.330002,168.139999,166.169998,168,168,10734000
168.289993,168.330002,166.869995,167.350006,167.350006,7286900
169.649994,171.070007,169.589996,171.020004,171.020004,13611200
170.399994,173.169998,170.190002,172.940002,172.940002,16676500
172.690002,173.770004,172.279999,173.020004,173.020004,11654200
172.630005,173.039993,172,172.229996,172.229996,9293700
172.139999,172.919998,171.580002,171.699997,171.699997,7340900
172.839996,174,172.600006,173.490005,173.490005,12413000
